phase_type,duration,distance,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,10.1,19.4164878389476,0,289.45806578069,289.45806578069,100,99.7315895456939,-0.268410454306093,10,,,1,102
planning,0.4,0,289.45806578069,299.572028524051,10.113962743361,99.7315895456939,99.7222244897804,-0.00936505591350567,,,0.363704545958595,102,106
dwelling,3.2,0,299.572028524051,369.35355344844,69.7815249243883,99.7222244897804,99.6577067662351,-0.0645177235453218,,3.14705882357589,,106,138
planning,0.8,0,369.35355344844,388.781100740284,19.4275472918447,99.6577067662351,99.6397248717213,-0.0179818945137669,,,0.712371688383404,138,146
traveling,8.39999999999999,27.8567765543682,388.781100740284,682.180045024242,293.398944283958,99.6397248717213,99.3668016366752,-0.272923235046065,8.36954683436585,,,146,230
planning,0.3,0,682.180045024242,690.822773846889,8.64272882264697,99.3668016366752,99.3587848134929,-0.0080168231823734,,,0.27959162543827,230,233
dwelling,3.6,0,690.822773846889,777.129491158644,86.3067173117548,99.3587848134929,99.2788942278687,-0.0798905856241561,,3.57777777766807,,233,269
planning,0.2,0,777.129491158644,782.325841094269,5.19634993562454,99.2788942278687,99.2740799705646,-0.00481425730413321,,,0.19483965572579,269,271
traveling,7.69999999999999,25.0199920063936,782.325841094269,1053.73771881215,271.411877717886,99.2740799705646,99.0215236177694,-0.252556352795182,7.693797911161,,,271,348
planning,0.4,0,1053.73771881215,1064.60074746903,10.8630286568798,99.0215236177694,99.0114526533815,-0.0100709643878929,,,0.302341875090449,348,352
dwelling,4.6,0,1064.60074746903,1172.41549850214,107.814751033109,99.0114526533815,98.9116586623764,-0.0997939910051144,,4.56666666548225,,352,398
planning,0.5,0,1172.41549850214,1185.01451806744,12.5990195652989,98.9116586623764,98.8999876125808,-0.0116710497955523,,,0.421413365002023,398,403
traveling,8.89999999999998,30.886890422961,1185.01451806744,1470.93692573934,285.922407671892,98.8999876125808,98.6342579022745,-0.265729710306388,8.88916546278495,,,403,492
planning,1,0,1470.93692573934,1495.47530599233,24.538380252993,98.6342579022745,98.6115297658901,-0.022728136384373,,,0.997270025599674,492,502
dwelling,5,0,1495.47530599233,1611.38286238456,115.907556392227,98.6115297658901,98.5042310267768,-0.107298739113318,,4.99999999772152,,502,552
planning,1,0,1611.38286238456,1637.61074573428,26.2278833497198,98.5042310267768,98.479918096611,-0.024312930165749,,,0.904261520613471,552,562
traveling,8.29999999999999,27.8567765543682,1637.61074573428,1904.25978240849,266.649036674217,98.479918096611,98.232043607203,-0.247874489408019,8.29808771681128,,,562,645
planning,0.1,0,1904.25978240849,1906.6291867189,2.36940431040739,98.232043607203,98.2298493125875,-0.00219429461549225,,,0.0725339317700995,645,646
dwelling,4,0,1906.6291867189,1998.90862154056,92.2794348216623,98.2298493125875,98.1444104161838,-0.0854388964036872,,3.99999999971116,,646,686
planning,0.4,0,1998.90862154056,2009.443495698,10.5348741574376,98.1444104161838,98.134642213873,-0.00976820231083764,,,0.352755626458812,686,690
traveling,7.69999999999999,25.0199920063936,2009.443495698,2273.46139926135,264.017903563349,98.134642213873,97.888920008223,-0.245722205649983,7.69379756727374,,,690,767
planning,0.2,0,2273.46139926135,2278.56195856417,5.10055930282078,97.888920008223,97.8841916764195,-0.00472833180350563,,,0.159951335457846,767,769
dwelling,3.8,0,2278.56195856417,2367.92569292307,89.3637343589007,97.8841916764195,97.8014190906423,-0.0827725857772066,,3.78888888884519,,769,807
planning,0.9,0,2367.92569292307,2391.27114534892,23.3454524258482,97.8014190906423,97.7797718983291,-0.0216471923132247,,,0.801566379461829,807,816
traveling,8.89999999999998,30.886890422961,2391.27114534892,2701.65967052024,310.38852517132,97.7797718983291,97.4907094414708,-0.289062456858275,8.88916546281009,,,816,905
planning,0.2,0,2701.65967052024,2706.9798675711,5.32019705085759,97.4907094414708,97.4857739250312,-0.00493551643958767,,,0.180936729247003,905,907
dwelling,5.8,0,2706.9798675711,2852.9761535319,145.9962859608,97.4857739250312,97.3504103555327,-0.135363569498466,,5.76470588267276,,907,965
planning,0.1,0,2852.9761535319,2855.9740969322,2.99794340030076,97.3504103555327,97.3476247838781,-0.00278557165458437,,,0.0436453521375494,965,966
traveling,8.29999999999999,27.8567765543682,2855.9740969322,3184.1348680049,328.160771072701,97.3476247838781,97.0413069824087,-0.306317801469447,8.29808736123826,,,966,1049
planning,0.9,0,3184.1348680049,3210.13007200521,25.9952040003068,97.0413069824087,97.017160197976,-0.0241467844327445,,,0.827072810385213,1049,1058
dwelling,3.1,0,3210.13007200521,3283.05083188051,72.9207598753023,97.017160197976,96.9495814934865,-0.0675787044894207,,3.03333332906723,,1058,1089
planning,0.2,0,3283.05083188051,3288.1638997075,5.11306782699694,96.9495814934865,96.9448387126168,-0.00474278086976199,,,0.158240084992455,1089,1091
traveling,7.69999999999999,25.0199920063936,3288.1638997075,3584.06218426271,295.898284555201,96.9448387126168,96.6686489528953,-0.276189759721461,7.69379756734358,,,1091,1168
planning,0.9,0,3584.06218426271,3608.15492087546,24.0927366127503,96.6686489528953,96.6462850559593,-0.022363896936028,,,0.857103324828007,1168,1177
dwelling,3,0,3608.15492087546,3677.859900113,69.7049792375428,96.6462850559593,96.5816809942457,-0.0646040617135384,,2.95555555310576,,1177,1207
planning,0.2,0,3677.859900113,3683.34448153878,5.48458142578329,96.5816809942457,96.5765882640028,-0.0050927302429784,,,0.131372115055313,1207,1209
traveling,8.89999999999998,30.886890422961,3683.34448153878,4017.00658971712,333.662108178335,96.5765882640028,96.2652678457226,-0.311320418280133,8.88916546295285,,,1209,1298
planning,0.8,0,4017.00658971712,4039.87319860144,22.8666088843238,96.2652678457226,96.2440196212775,-0.0212482244451024,,,0.741942367968758,1298,1306
dwelling,5,0,4039.87319860144,4164.65238700166,124.779188400219,96.2440196212775,96.1282522820349,-0.115767339242595,,4.97058823530617,,1306,1356
planning,0.8,0,4164.65238700166,4185.91258293455,21.2601959328886,96.1282522820349,96.1085125352014,-0.0197397468335652,,,0.716374925384521,1356,1364
traveling,8.29999999999999,27.8567765543682,4185.91258293455,4497.1514120535,311.238829118947,96.1085125352014,95.8179899232852,-0.290522611916188,8.29808736125452,,,1364,1447
planning,1,0,4497.1514120535,4525.28938623651,28.1379741830096,95.8179899232852,95.7918409858423,-0.0261489374428692,,,0.982891364990419,1447,1457
dwelling,2.9,0,4525.28938623651,4591.92011571973,66.630729483225,95.7918409858423,95.7300593473643,-0.0617816384779815,,2.89999999623453,,1457,1486
planning,0.8,0,4591.92011571973,4613.25380138611,21.3336856663791,95.7300593473643,95.7102455811102,-0.0198137662541313,,,0.743803947663008,1486,1494
traveling,7.69999999999999,25.0199920063936,4613.25380138611,4881.2978225122,268.044021126087,95.7102455811102,95.4603238648413,-0.249921716268858,7.69379756728541,,,1494,1571
planning,0.3,0,4881.2978225122,4888.47399693755,7.17617442535357,95.4603238648413,95.453665889332,-0.00665797550931302,,,0.266634037287092,1571,1574
dwelling,3.7,0,4888.47399693755,4971.47676071112,83.0027637735666,95.453665889332,95.3767047251086,-0.0769611642234196,,3.66666666018115,,1574,1611
planning,0.6,0,4971.47676071112,4986.31471146631,14.8379507551954,95.3767047251086,95.3629324953593,-0.0137722297493355,,,0.535683715297837,1611,1617
traveling,8.89999999999998,30.886890422961,4986.31471146631,5306.52745175203,320.212740285719,95.3629324953593,95.0641177619916,-0.298814733367649,8.88916546282281,,,1617,1706
planning,0.1,0,5306.52745175203,5309.30468497904,2.77723322700876,95.0641177619916,95.0615360117544,-0.00258175023721208,,,0.061960766926802,1706,1707
dwelling,5.9,0,5309.30468497904,5444.38915896744,135.0844739884,95.0615360117544,94.9362215154911,-0.125314496263329,,5.84705882370931,,1707,1766
planning,0.4,0,5444.38915896744,5454.88826866959,10.4991097021493,94.9362215154911,94.92646713494,-0.00975438055112932,,,0.34822960924429,1766,1770
traveling,8.29999999999999,27.8567765543682,5454.88826866959,5728.03413949446,273.145870824877,94.92646713494,94.6718962778884,-0.254570857051533,8.29808736123857,,,1770,1853
planning,0.3,0,5728.03413949446,5735.27394786451,7.23980837004365,94.6718962778884,94.6651751048274,-0.00672117306105235,,,0.295396584245079,1853,1856
dwelling,3.7,0,5735.27394786451,5806.49370676771,71.2197589032003,94.6651751048274,94.5991954116786,-0.0659796931487904,,3.63333332787581,,1856,1893
planning,0.7,0,5806.49370676771,5820.53756011489,14.0438533471861,94.5991954116786,94.5861802556919,-0.0130151559866789,,,0.610756263437177,1893,1900
traveling,7.69999999999999,25.0199920063936,5820.53756011489,6046.38191464619,225.844354531294,94.5861802556919,94.3759528503856,-0.210227405306284,7.69379756729734,,,1900,1977
planning,0.7,0,6046.38191464619,6064.49620535599,18.1142907098019,94.3759528503856,94.359119797865,-0.0168330525206528,,,0.686481889835751,1977,1984
dwelling,3.3,0,6064.49620535599,6141.10020023048,76.603994874491,94.359119797865,94.2880156109833,-0.0711041868816693,,3.24444443806515,,1984,2017
planning,0.9,0,6141.10020023048,6164.63921724386,23.5390170133805,94.2880156109833,94.2661374494073,-0.0218781615759696,,,0.880463383264409,2017,2026
traveling,8.89999999999998,30.886890422961,6164.63921724386,6486.25167411205,321.612456868191,94.2661374494073,93.9657745873762,-0.300362862031164,8.88916546278419,,,2026,2115
planning,0.6,0,6486.25167411205,6504.65148959742,18.3998154853671,93.9657745873762,93.9486349402349,-0.0171396471412493,,,0.541352092186051,2115,2121
dwelling,5.5,0,6504.65148959742,6645.86947091362,141.2179813162,93.9486349402349,93.8173723311666,-0.131262609068315,,5.40000000010222,,2121,2176
planning,1,0,6645.86947091362,6675.45840838233,29.5889374687113,93.8173723311666,93.7898201571683,-0.0275521739982594,,,0.939090920067529,2176,2186
traveling,8.29999999999999,27.8567765543682,6675.45840838233,6976.69874543424,301.240337051904,93.7898201571683,93.508387125187,-0.281433031981337,8.2980873611835,,,2186,2269
planning,0.2,0,6976.69874543424,6982.01543884778,5.316693413547,93.508387125187,93.5034419875839,-0.00494513760307314,,,0.103522211822198,2269,2271
dwelling,3.9,0,6982.01543884778,7070.52841116672,88.5129723189393,93.5034419875839,93.4212531341607,-0.0821888534232329,,3.84444443142033,,2271,2310
planning,0.6,0,7070.52841116672,7085.47996068699,14.9515495202722,93.4212531341607,93.4073557884701,-0.0138973456905518,,,0.524952574223926,2310,2316
traveling,7.69999999999999,25.0199920063936,7085.47996068699,7342.88074769403,257.400787007033,93.4073557884701,93.1671208578056,-0.240234930664556,7.69379756725656,,,2316,2393
planning,0.5,0,7342.88074769403,7355.58926272455,12.7085150305238,93.1671208578056,93.1553036894065,-0.0118171683990909,,,0.443717013653838,2393,2398
dwelling,3.6,0,7355.58926272455,7446.12388522312,90.5346224985724,93.1553036894065,93.0711233922866,-0.0841802971198859,,3.52222221758201,,2398,2434
planning,0.8,0,7446.12388522312,7469.63598619016,23.5121009670329,93.0711233922866,93.0492201640431,-0.0219032282435023,,,0.747505337493913,2434,2442
traveling,8.89999999999998,30.886890422961,7469.63598619016,7800.52577582255,330.88978963239,93.0492201640431,92.739759479315,-0.309460684728094,8.88916546278419,,,2442,2531
planning,0.9,0,7800.52577582255,7825.45131383333,24.9255380107825,92.739759479315,92.716551249786,-0.023208229529061,,,0.895704220619434,2531,2540
dwelling,5.2,0,7825.45131383333,7957.55431978191,132.103005948581,92.716551249786,92.5936691692511,-0.122882080534851,,5.10000000008841,,2540,2592
planning,0.6,0,7957.55431978191,7975.51797358292,17.9636538010127,92.5936691692511,92.5769248514823,-0.0167443177688114,,,0.538582239175092,2592,2598
traveling,8.29999999999999,27.8567765543682,7975.51797358292,8281.6416772659,306.123703682976,92.5769248514823,92.2906170572849,-0.28630779419737,8.29808736120543,,,2598,2681
planning,0.5,0,8281.6416772659,8295.63834733001,13.9966700641162,92.2906170572849,92.2775789196469,-0.0130381376380058,,,0.482398046348056,2681,2686
dwelling,3.5,0,8295.63834733001,8379.93345014017,84.2951028101579,92.2775789196469,92.1991898535934,-0.0783890660535036,,3.49999999865116,,2686,2721
planning,0.8,0,8379.93345014017,8401.15377374098,21.2203236008063,92.1991898535934,92.1794342645422,-0.0197555890512291,,,0.781635151041525,2721,2729
traveling,7.69999999999999,25.0199920063936,8401.15377374098,8666.15230122262,264.998527481646,92.1794342645422,91.9317616498373,-0.24767261470484,7.69379756727374,,,2729,2806
planning,0.2,0,8666.15230122262,8671.1133673906,4.9610661679726,91.9317616498373,91.9271456683229,-0.00461598151443354,,,0.14703426226777,2806,2808
dwelling,3.8,0,8671.1133673906,8757.69746856144,86.5841011708471,91.9271456683229,91.8466532749591,-0.0804923933637696,,3.78888888798113,,2808,2846
planning,0.5,0,8757.69746856144,8771.14892437864,13.4514558171959,91.8466532749591,91.8341249962133,-0.0125282787458758,,,0.494371427933968,2846,2851
traveling,8.89999999999998,30.886890422961,8771.14892437864,9080.74145452852,309.592530149885,91.8341249962133,91.5446419486062,-0.289483047607064,8.8891654628228,,,2851,2940
planning,0.2,0,9080.74145452852,9085.54497416604,4.80351963751491,91.5446419486062,91.5401728338564,-0.0044691147497673,,,0.142721079244904,2940,2942
dwelling,5.8,0,9085.54497416604,9215.38694927771,129.841975111667,91.5401728338564,91.4194496521008,-0.120723181755622,,5.74705882349712,,2942,3000
