phase_type,duration,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,2,0,298.734773302759,298.734773302759,100+0i,99.6743902147078,-0.325609785292201,2,,,1,21
planning,0.4,298.734773302759,310.0459079587,11.3111346559412,99.6743902147078+0i,99.6639024971869,-0.010487717520931,,,0.335917881047363,21,25
dwelling,2,310.0459079587,359.656086048066,49.6101780893663,99.6639024971869+0i,99.6179732646489,-0.0459292325379863,,1.93333332018936,,25,45
planning,1,359.656086048066,386.667576530646,27.0114904825796,99.6179732646489+0i,99.5929411648852,-0.0250320997636493,,,0.952333650142135,45,55
traveling,2.2,386.667576530646,656.014136101695,269.346559571049,99.5929411648852+0i,99.3076442442773,-0.285296920607891,2.11943690995463,,,55,77
planning,0.4,656.014136101695,666.955739449096,10.9416033474013,99.3076442442773+0i,99.2975012034255,-0.0101430408518723,,,0.33496622084748,77,81
dwelling,4.5,666.955739449096,775.851186343563,108.895446894466,99.2975012034255+0i,99.1966899421366,-0.100811261288868,,4.43076916617919,,81,126
planning,0.9,775.851186343563,801.287112804047,25.4359264604847,99.1966899421366+0i,99.1730993296838,-0.0235906124527787,,,0.825096747861697,126,135
traveling,2.3,801.287112804047,861.943324551628,60.6562117475812,99.1730993296838+0i,99.1168891848618,-0.0562101448219749,2.23703322361798,,,135,158
planning,0.8,861.943324551628,882.715738723336,20.7724141717077,99.1168891848618+0i,99.0976423411742,-0.019246843687668,,,0.763024585736893,158,166
dwelling,7.59999999999999,882.715738723336,1057.08575352124,174.370014797906,99.0976423411742+0i,98.9362825525529,-0.161359788621297,,7.56004227694845,,166,242
planning,0.2,1057.08575352124,1061.93888929772,4.8531357764773,98.9362825525529+0i,98.9317887869462,-0.00449376560669634,,,0.146975423428815,242,244
traveling,4.2,1061.93888929772,1575.5922951716,513.653405873881,98.9317887869462+0i,98.3360954891274+0.167130164945377i,-0.595693297818741+0.167130164945377i,4.20006972983063,,,244,286
planning,0.4,1575.5922951716,1584.97264191664,9.38034674503888,98.3360954891274+0.167130164945377i,98.3274098221116+0.167131015861809i,-0.00868566701588236+8.50916432065807e-07i,,,0.342534018608693,286,290
dwelling,6.89999999999999,1584.97264191664,1730.0307746916,145.058132774963,98.3274098221116+0.167131015861809i,98.1932276557426+0.167144173150805i,-0.134182166368916+1.31572889965903e-05i,,6.83333327699937,,290,359
planning,1,1730.0307746916,1752.52409539381,22.4933207022077,98.1932276557426+0.167144173150805i,98.1724070104856+0.167146223869111i,-0.0208206452570607+2.05071830516879e-06i,,,0.94077330623889,359,369
traveling,3.9,1752.52409539381,1854.75802981706,102.233934423246,98.1724070104856+0.167146223869111i,98.0776075799447+0.167155616462965i,-0.094799430540931+9.39259385399072e-06i,3.93891388583867,,,369,408
planning,0.7,1854.75802981706,1870.0019781676,15.243948350548,98.0776075799447+0.167155616462965i,98.0635007546789+0.167157011497928i,-0.0141068252657988+1.39503496324189e-06i,,,0.629277038055592,408,415
dwelling,5.1,1870.0019781676,1971.03793988267,101.035961715067,98.0635007546789+0.167157011497928i,97.9700783566188+0.167166254769044i,-0.0934223980600422+9.24327111651024e-06i,,5.06923075912183,,415,466
planning,0.7,1971.03793988267,1986.97287943346,15.9349395507886,97.9700783566188+0.167166254769044i,97.955324754965+0.167167721554476i,-0.0147536016538083+1.46678543155865e-06i,,,0.60347078292861,466,473
traveling,4.6,1986.97287943346,2259.67837372533,272.705494291875,97.955324754965+0.167167721554476i,97.6923243892609+0.167196440274804i,-0.263000365704087+2.87187203285577e-05i,4.53323755135177,,,473,519
