optimal,current_idx,goal_idx_1,goal_idx_2,goal_idx_3,J_opt_1,J_opt_2,J_opt_3,opt_values_1,opt_values_2,opt_values_3,J_uncertainty_1,J_uncertainty_2,J_uncertainty_3,E_bar_1,E_bar_2,E_bar_3
dwell,1,2,3,4,266.143104364141,275.062407344928,259.888045750001,6.70000000022039,6.69999999738004,6.69999999985509,113.869421761397,120.239835971086,111.904060267801,25.3789471004573,25.8037618956402,24.6639975803667
travel,1,2,3,4,268.17874354453,279.445289044898,259.834301496788,8.36670289983914,8.74594731754376,4.8349993216883,112.74328606675,121.378280551965,108.133702067035,25.9059095796299,26.3445014154889,25.2834332382922
dwell,4,1,2,3,273.212980932503,254.589475568612,270.358481604839,5.79540229890466,5.79540229420926,5.79540229865623,122.905018344758,104.93094832985,115.389951933188,25.0513270979574,24.9430878731271,25.8280882786086
.529632705722,255.322328658457,274.641134284655,7.52855910403952,5.72272204travel,4,1,2,3,278747998,7.42140011667117,125.92320757318,103.21564909026,116.570598540008,25.434404188757,25.3511132613661,26.3450892907745
dwell,2,1,3,4,267.61707767705,252.759214787554,264.01106086182,8.13529411784216,8.13529411675023,8.13529409377735,113.334488670061,102.479376734202,113.870378121621,25.7137648344981,25.0466396755588,25.0234471233665
travel,2,1,3,4,270.888423594702,251.373995431597,266.174655087979,8.89395032629619,5.93342082053357,8.48268959106014,112.920452111278,97.2739025168044,112.500429164392,26.3279952472373,25.6833488191321,25.6123709872646
dwell,3,1,2,4,260.903170988481,260.936889443497,259.648138836552,7.08888888526552,7.08888887125847,7.08888888891735,106.732036139562,110.779179361127,106.678084103561,25.6951891414864,25.0262850137283,25.4950091221651
travel,3,1,2,4,263.814136071163,263.713688126792,262.161008811308,7.41685733273034,8.75465527322791,8.16699764971402,105.653732481394,110.675439336118,105.64493067677,26.3600672649615,25.5063747984456,26.086013022423
dwell,4,1,2,3,259.702834268095,264.389413096371,284.738788472817,5.79770114952025,5.79770114919537,5.7977011466435,110.661770023952,114.407803505224,128.972513991258,24.8401773740238,24.9969349318578,25.9610457469265
travel,4,1,2,3,259.958809461952,265.908612453297,291.061960749862,4.74708355542322,6.25639812034004,10.1327523007433,108.796587021325,112.995521385837,133.167675880952,25.1937037401046,25.4855151779101,26.3157141448184
dwell,1,2,3,4,255.768537837141,274.741551466917,268.803900661002,7.04444444453879,7.04444444337006,7.04444444447057,104.278899780017,120.129194292779,120.335302501376,25.2482730095207,25.7687261956895,24.7447663599376
travel,1,2,3,4,256.127503111652,279.684766348321,271.963934099207,7.37156887122313,8.77677152800039,7.30769495495543,101.929174666766,121.619771523039,120.465975916326,25.6997214074809,26.3441658042137,25.2496596971468
dwell,2,1,3,4,273.462618229914,259.290035080291,258.734909476644,9.14117647047285,9.14117645587315,9.14117645718771,119.912452630643,109.360866026551,109.869654190862,25.5916942665452,24.9881948422899,24.8108758809636
travel,2,1,3,4,278.822851968525,259.380541332505,258.704075704593,9.83645052035464,5.97209247245517,6.2574635903068,120.911996325885,104.381356855314,104.870180214447,26.31847594044,25.8331974128651,25.638982581691
dwell,4,1,2,3,265.775437094446,270.230361876618,262.512282736817,5.87241379304174,5.87241379318141,5.87241379343775,116.132645244678,119.668444597641,108.085943424269,24.9404653082947,25.0936528798295,25.7377232187579
travel,4,1,2,3,266.762643124136,272.334743299054,263.232958668086,5.61052990327048,8.74695532402079,7.35258591656695,114.00320238954,119.594678323762,106.918696473007,25.4599067890994,25.456677495882,26.0523770325132
dwell,3,1,2,4,270.65878974887,263.944625133256,278.515237646974,7.64444444395136,7.64444442837236,7.6444444420638,117.030403335454,114.731286006002,125.347022139045,25.6047310689027,24.8688898545424,25.5280359179883
travel,3,1,2,4,270.649128396649,262.022850376071,280.678043466366,7.4335570277493,6.44713517281577,10.0077502762128,113.076349747239,108.825522959748,124.275163516136,26.2621297749017,25.5328879027206,26.0671466583717
dwell,2,1,3,4,263.159032540206,277.889872905555,265.53179087606,6.4941176363269,6.49411764708094,6.49411762391285,109.1964035177,125.176785741188,114.980061991352,25.6604381704177,25.4521811940612,25.091954814118
travel,2,1,3,4,264.675465048248,283.087957852596,267.155437914814,7.30920253668133,8.89793016039481,6.52529933954102,108.43974802694,127.810758085392,113.342851407766,26.0392861702179,25.879533294534,25.6354310845079
dwell,1,2,3,4,276.326383895823,278.558282212609,257.355072751098,7.77777777228846,7.77777777686668,7.7777777666074,124.220606464637,124.46689474581,110.384952959011,25.3509629051976,25.6818979111332,24.4950199653479
travel,1,2,3,4,279.853968872561,282.966927227713,255.027259236675,9.93716439883194,8.64318126406119,4.82374046408062,124.513278118831,124.893161445238,104.950613940089,25.8901151256217,26.3456276304124,25.0127742160977
dwell,4,1,2,3,266.948914820619,254.260812699496,263.674478471516,7.88965517256386,7.88965516818474,7.88965517247112,116.043576197997,105.517677243751,108.157141442254,25.1508897704369,24.7905225759575,25.9195561715436
travel,4,1,2,3,268.440265226641,252.485079519825,264.091690072613,7.35600676685266,6.07060458511563,7.29491405140748,115.821588760931,99.5572133024746,106.156160032369,25.4364460776184,25.4879777028918,26.3225883400407
dwell,2,1,3,4,269.047550736824,253.279816695223,266.300430949453,6.79411764643348,6.79411764711374,6.79411764750825,114.365515093253,102.198379602347,115.430373522573,25.7803392739286,25.1802395154793,25.1450095711466
travel,2,1,3,4,271.710568479763,251.79539459059,268.255185017483,8.78100803513325,5.9334206789088,8.62836526612584,113.735311566038,97.8821447873783,114.590025794292,26.3292094856209,25.6522083005352,25.6108598705319
dwell,3,1,2,4,259.554650597765,260.15713558651,259.314735560181,7.27777777326781,7.27777777745647,7.27777777565534,105.53862710955,110.090598902284,106.414309553131,25.6693372480357,25.011089447371,25.4834043345083
travel,3,1,2,4,261.873871181894,262.52260106759,261.516831362703,7.35940906284477,8.81581046565996,8.3410396648745,103.745413258392,109.488033205654,105.01245768492,26.3547429872503,25.5057613103227,26.0840622796305
dwell,4,1,2,3,261.730254311131,266.883125855367,287.230354461197,5.72298850159763,5.72298850524006,5.72298850579346,112.676265869191,116.86947801251,131.440271706962,24.84233140699,25.0022746404762,25.9650137923726
travel,4,1,2,3,261.301242767979,267.798060161533,292.853935487261,4.74708347805755,6.22544907584351,10.0816914608881,110.271790313372,114.882529664464,134.95684045917,25.1715754091013,25.4859217495115,26.3161825046819
dwell,1,2,3,4,254.307226105994,273.031238931319,267.46424028482,7.13333333358108,7.13333332956466,7.13333332860841,102.856516780332,118.473248143935,119.012707355538,25.2417848876102,25.7596651312306,24.7419221548803
