optimal,current_idx,goal_idx_1,goal_idx_2,goal_idx_3,J_opt_1,J_opt_2,J_opt_3,opt_values_1,opt_values_2,opt_values_3,J_uncertainty_1,J_uncertainty_2,J_uncertainty_3,E_bar_1,E_bar_2,E_bar_3
dwell,1,2,3,4,263.71217448614,264.483102292367,222.577497696874,4.15371913046761e-07,4.1512750255382e-07,4.15181635839915e-07,144.999998138195,144.999998138848,144.999998138799,118.712176347945,119.483104153519,77.5774995580755
travel,1,2,3,4,443.666741399918,445.611312542704,337.71338638346,7.39549415784585,7.44271204448737,4.78771598462939,162.709185967077,162.822508895017,156.450517186521,280.957555432841,282.788803647687,181.262869196939
dwell,4,1,2,3,249.89747489427,266.746863263187,291.032151682124,2.05539267029353e-08,2.06504286889404e-08,2.05537538275109e-08,172.319999907222,172.319999907245,172.319999907223,77.5774749870486,94.4268633559425,118.712151774901
travel,4,1,2,3,371.258922539781,408.963121016128,472.326631924245,4.88369060723055,5.72271938145151,7.29491003452722,187.840856281303,189.854526503731,193.627784071113,183.418066258478,219.108594512397,278.698847853132
dwell,1,2,3,4,321.232174484725,322.003102292371,280.097497696874,4.15182404959741e-07,4.15158161127825e-07,4.15187713594446e-07,202.519998138797,202.519998138724,202.519998138773,118.712176345927,119.483104153647,77.5774995581008
travel,1,2,3,4,504.432006844334,504.585776413377,401.458922540044,7.37156686407637,7.34673742315649,4.88369060723352,224.011760462031,223.952169803823,218.040856281287,280.420246382303,280.633606609554,183.418066258756
dwell,4,1,2,3,310.297497695474,327.146886058388,351.432174486145,4.15127171084291e-07,4.1511493849775e-07,4.15428321243196e-07,232.719998138849,232.719998138898,232.719998137967,77.5774995566251,94.4268879194895,118.712176348178
travel,4,1,2,3,431.658922539828,469.363121016132,532.726631924246,4.88369060723246,5.72271938145149,7.29491003452719,248.240856281307,250.25452650373,254.027784071112,183.418066258521,219.108594512402,278.698847853134
dwell,1,2,3,4,383.552174486125,384.323102293771,342.417497698281,4.15247174388026e-07,4.15171851047875e-07,4.15300490773192e-07,264.839998138704,264.839998138837,264.839998138484,118.712176347421,119.483104154933,77.5774995597972
travel,1,2,3,4,565.792006844331,565.945776413374,462.818922539843,7.37156686407637,7.34673742315648,4.88369060723252,285.371760462031,285.312169803823,279.400856281305,280.4202463823,280.633606609551,183.418066258538
dwell,4,1,2,3,373.577497698277,390.4268860612,414.712174483327,4.1525248941053e-07,4.15317027068636e-07,4.15142437966209e-07,295.999998138679,295.999998138413,295.999998138787,77.5774995595975,94.4268879227871,118.71217634454
travel,4,1,2,3,494.458922539961,532.163121016126,595.526631924243,4.88369060723077,5.72271938145153,7.29491003452725,311.040856281282,313.054526503731,316.827784071112,183.418066258679,219.108594512395,278.69884785313
dwell,1,2,3,4,446.352174483326,447.123102292367,405.217497692673,4.15144933609462e-07,4.15122790214713e-07,4.15144591763141e-07,327.639998138778,327.639998138866,327.639998138431,118.712176344549,119.483104153501,77.5774995542422
travel,1,2,3,4,626.192006844335,626.345776413375,523.218922539432,7.37156686407637,7.34673742315654,4.88369060723257,345.77176046203,345.712169803823,339.800856281354,280.420246382305,280.633606609553,183.418066258078
dwell,4,1,2,3,431.577497695471,448.426886058387,472.712174480529,4.15123316096486e-07,4.15129852634571e-07,4.15146310565216e-07,353.999998138864,353.999998138837,353.99999813843,77.5774995566073,94.42688791955,118.712176342099
travel,4,1,2,3,553.418922539752,591.123121016124,654.486631924242,4.88369060723057,5.72271938145149,7.29491003452725,370.000856281305,372.01452650373,375.787784071112,183.418066258447,219.108594512394,278.69884785313
dwell,1,2,3,4,504.352174486144,505.123102295159,463.217497696863,4.15445241715749e-07,4.15222028582373e-07,4.15171964775568e-07,385.639998137896,385.639998138804,385.639998138838,118.712176348248,119.483104156355,77.5774995580253
travel,1,2,3,4,685.152006844339,685.305776413373,582.178922540206,7.37156686407637,7.34673742315651,4.88369060723268,404.731760462028,404.672169803821,398.760856281262,280.42024638231,280.633606609552,183.418066258945
dwell,4,1,2,3,492.93749769688,509.786886058383,534.072174486132,4.15199489636991e-07,4.15151476812669e-07,4.15446767052429e-07,415.359998138721,415.359998138747,415.359998137893,77.5774995581583,94.4268879196352,118.712176348238
travel,4,1,2,3,613.818922539827,651.523121016128,714.88663192424,4.8836906072325,5.72271938145153,7.29491003452722,430.400856281305,432.414526503728,436.18778407111,183.418066258522,219.1085945124,278.698847853129
dwell,1,2,3,4,561.392174484752,562.163102292376,520.257497698286,4.15409368357347e-07,4.15148675485204e-07,4.15264896888061e-07,442.679998137873,442.679998138757,442.679998138619,118.712176346879,119.48310415362,77.577499559667
travel,1,2,3,4,743.152006844337,743.305776413366,640.17892253985,7.37156686407634,7.34673742315645,4.88369060723442,462.731760462027,462.67216980382,456.760856281312,280.42024638231,280.633606609546,183.418066258538
dwell,4,1,2,3,550.93749769827,567.786886061198,592.072174480533,4.15221262722088e-07,4.15244519334558e-07,4.15134009352475e-07,473.359998138803,473.359998138703,473.359998138467,77.577499559467,94.4268879224946,118.712176342066
travel,4,1,2,3,672.778922538986,710.483121016116,773.846631924239,4.88369060722871,5.72271938145145,7.29491003452722,489.360856281382,491.374526503728,495.147784071109,183.418066257604,219.108594512388,278.698847853129
dwell,1,2,3,4,622.752174486132,623.523102289562,581.617497698284,4.15274236085097e-07,4.15146255469597e-07,4.15316872309483e-07,504.039998138583,504.039998138426,504.03999813841,118.712176347549,119.483104151136,77.5774995598734
travel,1,2,3,4,806.432006844336,806.585776413375,703.458922540153,7.37156686407637,7.34673742315648,4.88369060723064,526.011760462026,525.952169803818,520.040856281254,280.42024638231,280.633606609557,183.418066258899
dwell,4,1,2,3,610.857497698319,627.706886061176,651.992174486174,4.15483119944965e-07,4.15212437975602e-07,4.15483119944965e-07,533.279998137735,533.279998138837,533.279998137735,77.5774995605837,94.4268879223389,118.712176348439
travel,4,1,2,3,729.338922539375,767.043121016115,830.406631924236,4.88369060723063,5.72271938145145,7.29491003452716,545.920856281345,547.934526503726,551.707784071108,183.41806625803,219.108594512388,278.698847853128
dwell,1,2,3,4,680.272174484753,681.043102292394,639.137497696858,4.15446322059091e-07,4.15368604434061e-07,4.15171076258693e-07,561.559998137724,561.55999813787,561.559998138837,118.712176347029,119.483104154524,77.5774995580207
travel,1,2,3,4,861.072006844336,861.225776413383,758.0989225402,7.37156686407643,7.3467374231565,4.88369060723257,580.651760462025,580.592169803816,574.680856281258,280.420246382312,280.633606609568,183.418066258942
dwell,4,1,2,3,665.017497695488,681.866886061194,706.152174480524,4.15354594670187e-07,4.15338417706598e-07,4.1512974064034e-07,587.439998137931,587.43999813832,587.439998138512,77.5774995575577,94.4268879228734,118.712176342012
travel,4,1,2,3,783.01892254024,820.723121016124,884.086631924243,4.88369060723434,5.72271938145149,7.29491003452734,599.600856281262,601.614526503724,605.387784071106,183.418066258978,219.108594512399,278.698847853137
dwell,1,2,3,4,732.992174483334,733.763102289563,691.857497692666,4.15122000827873e-07,4.15142272113754e-07,4.15145973306958e-07,614.279998138862,614.279998138428,614.279998138423,118.712176344472,119.483104151135,77.5774995542428
travel,1,2,3,4,914.272006844334,914.425776413362,811.298922540249,7.37156686407637,7.34673742315645,4.88369060723457,633.851760462024,633.792169803817,627.880856281261,280.42024638231,280.633606609546,183.418066258987
dwell,4,1,2,3,719.177497698288,736.026886055581,760.312174483317,4.15274570666039e-07,4.15145930466426e-07,4.15156427674155e-07,641.599998138579,641.599998138422,641.599998138726,77.5774995597092,94.4268879171593,118.712176344591
travel,4,1,2,3,838.618922539801,876.323121016112,939.686631924246,4.88369060723262,5.72271938145145,7.29491003452728,655.200856281303,657.214526503724,660.987784071104,183.418066258498,219.108594512388,278.698847853141
dwell,1,2,3,4,790.512174480527,791.283102292375,749.377497695466,4.1513372684092e-07,4.15112444653778e-07,4.15106022871243e-07,671.799998138463,671.799998138897,671.799998138926,118.712176342064,119.483104153478,77.57749955654
travel,1,2,3,4,973.712006844328,973.865776413366,870.738922539331,7.37156686407637,7.34673742315645,4.88369060722882,693.291760462023,693.232169803815,687.320856281337,280.420246382305,280.633606609551,183.418066257994
dwell,4,1,2,3,779.577497692672,796.42688606121,820.71217448611,4.15139621068265e-07,4.15413987680348e-07,4.15351024683132e-07,701.99999813843,701.999998138006,701.999998138279,77.5774995542423,94.4268879232039,118.712176347832
travel,4,1,2,3,900.938922539707,938.64312101611,1002.00663192424,4.8836906072289,5.72271938145141,7.29491003452725,717.520856281293,719.534526503723,723.307784071104,183.418066258414,219.108594512387,278.698847853135
dwell,1,2,3,4,851.872174480526,852.643102289565,810.737497698262,4.15144555382938e-07,4.15133944796109e-07,4.15314003576678e-07,733.159998138421,733.159998138462,733.159998138424,118.712176342105,119.483104151104,77.577499559838
travel,1,2,3,4,1033.63200684434,1033.78577641337,930.658922540199,7.37156686407637,7.34673742315648,4.88369060723267,753.21176046202,753.152169803813,747.240856281254,280.420246382321,280.633606609557,183.418066258944
dwell,4,1,2,3,840.457497696874,857.30688605559,881.592174484753,4.15180960811208e-07,4.15133680720208e-07,4.15403494390598e-07,762.879998138786,762.879998138461,762.879998137886,77.5774995580885,94.4268879171284,118.712176346867
travel,4,1,2,3,961.338922539798,999.043121016121,1062.40663192424,4.88369060723262,5.72271938145153,7.29491003452728,777.9208562813,779.93452650372,783.707784071102,183.418066258498,219.1085945124,278.698847853136
dwell,1,2,3,4,910.352174480518,911.123102292362,869.217497692661,4.15131507509866e-07,4.15136791877899e-07,4.15144462322126e-07,791.639998138504,791.639998138799,791.639998138421,118.712176342014,119.483104153563,77.5774995542398
travel,1,2,3,4,1094.03200684433,1094.18577641338,991.058922539301,7.37156686407643,7.34673742315648,4.88369060722885,813.611760462019,813.552169803811,807.640856281338,280.420246382312,280.633606609567,183.418066257963
dwell,4,1,2,3,901.81749769266,918.666886061173,942.95217448613,4.15146271695122e-07,4.1526273241658e-07,4.15454861864612e-07,824.239998138418,824.239998138628,824.239998137856,77.5774995542416,94.4268879225452,118.712176348274
travel,4,1,2,3,1019.81892254031,1057.52312101611,1120.88663192424,4.88369060723614,5.72271938145153,7.29491003452722,836.400856281257,838.41452650372,842.1877840711,183.418066259054,219.10859451239,278.698847853145
dwell,1,2,3,4,968.832174480519,969.603102292394,927.697497692669,4.15146123272732e-07,4.15372664391981e-07,4.15133775082257e-07,850.119998138418,850.119998137849,850.119998138459,118.712176342101,119.483104154545,77.5774995542106
travel,1,2,3,4,1148.67200684433,1148.82577641337,1045.6989225406,7.37156686407632,7.34673742315648,4.88369060723258,868.251760462018,868.19216980381,862.280856281204,280.420246382309,280.633606609557,183.418066259392
dwell,4,1,2,3,952.617497698274,969.466886061195,993.752174486117,4.1533792222848e-07,4.15350753718112e-07,4.15276049193527e-07,875.039998138315,875.039998138261,875.039998138569,77.577499559959,94.4268879229344,118.712176347547
travel,4,1,2,3,1073.97892253989,1111.6831210161,1175.04663192423,4.88369060723657,5.72271938145145,7.29491003452728,890.560856281305,892.574526503717,896.347784071098,183.418066258582,219.108594512388,278.698847853136
dwell,1,2,3,4,1025.87217448333,1026.64310228956,984.73749769266,4.1535868618615e-07,4.15146560799372e-07,4.15133564775546e-07,907.159998137905,907.159998138413,907.159998138455,118.712176345422,119.483104151143,77.5774995542054
travel,1,2,3,4,1205.71200684431,1205.86577641335,1102.73892253899,7.37156686407637,7.34673742315642,4.88369060723241,925.291760462015,925.232169803806,919.320856281387,280.42024638229,280.633606609545,183.418066257598
dwell,4,1,2,3,1012.05749769264,1028.90688605557,1053.19217448051,4.15133484372658e-07,4.15141652070905e-07,4.15132216737166e-07,934.479998138491,934.479998138416,934.479998138494,77.5774995541511,94.4268879171494,118.712176342011
travel,4,1,2,3,1131.97890276003,1169.68312101612,1233.04663192423,4.88369021006092,5.72271938145153,7.29491003452722,948.560856492377,950.57452650371,954.347784071093,183.41804626765,219.108594512411,278.698847853135
dwell,1,2,3,4,1080.51217448612,1081.28310229514,1039.37749769267,4.1518455830111e-07,4.15347905196166e-07,4.15133753258465e-07,961.799998138926,961.799998138272,961.799998138449,118.712176347195,119.483104156872,77.5774995542174
