phase_type,duration,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,2,0,312.466218060159,312.466218060159,100+0i,99.9950659109546,-0.00493408904543458,2,,,1,21
planning,0.7,312.466218060159,333.849550158035,21.3833320978761,99.9950659109546+0i,99.9947801706045,-0.000285740350108199,,,0.655740699156587,21,28
dwelling,1.7,333.849550158035,378.237649975887,44.3880998178515,99.9947801706045+0i,99.9941881793555,-0.000591991248924728,,1.63333331837591,,28,45
planning,0.5,378.237649975887,392.678864735157,14.4412147592702,99.9941881793555+0i,99.9939953470856,-0.000192832269974019,,,0.489764395788231,45,50
traveling,2.1,392.678864735157,749.436292484784,356.757427749627,99.9939953470856+0i,99.9878935676794+0.00197301762166351i,-0.00610177940620815+0.00197301762166351i,2.06824278070443,,,50,71
planning,0.3,749.436292484784,758.072435833128,8.63614334834472,99.9878935676794+0.00197301762166351i,99.9877782544492+0.0019730177465675i,-0.00011531323012548+1.24903986459257e-10i,,,0.243524968724989,71,74
dwelling,4.4,758.072435833128,867.202018594544,109.129582761416,99.9877782544492+0.0019730177465675i,99.9863236594718+0.00197301931662932i,-0.00145459497740319+1.57006182490912e-09i,,4.39230760949052,,74,118
planning,1,867.202018594544,894.211643768303,27.0096251737591,99.9863236594718+0.00197301931662932i,99.985963298502+0.00197301970637211i,-0.000360360969807516+3.89742785354003e-10i,,,0.961898080855054,118,128
traveling,2.3,894.211643768303,950.64640553223,56.4347617639271,99.985963298502+0.00197301970637211i,99.9852111569341+0.00197302051809438i,-0.000752141567957665+8.11722277935245e-10i,2.2052674246485,,,128,151
planning,1,950.64640553223,974.444712715403,23.7983071831725,99.9852111569341+0.00197302051809438i,99.984894088421+0.00197302086005494i,-0.000317068513069785+3.41960560562571e-10i,,,0.900053846417662,151,161
dwelling,7.09999999999999,974.444712715403,1126.37506783911,151.930355123705,99.984894088421+0.00197302086005494i,99.9828720068213+0.00197302303640544i,-0.00202208159966233+2.17635049825499e-09i,,7.07925707737318,,161,232
planning,0.6,1126.37506783911,1140.15946476502,13.7843969259079,99.9828720068213+0.00197302303640544i,99.9826884215693+0.0019730232342782i,-0.000183585252003127+1.97872761144996e-10i,,,0.507858284661118,232,238
traveling,4.2,1140.15946476502,1646.38614301854,506.226678253524,99.9826884215693+0.0019730232342782i,99.9737910899665+0.00382402392190882i,-0.00889733160278183+0.00185100068763061i,4.20398085290687,,,238,280
planning,0.6,1646.38614301854,1661.37693318712,14.990790168582,99.9737910899665+0.00382402392190882i,99.9735912601369+0.00382402434026377i,-0.00019982982959732+4.18354951809558e-10i,,,0.576721515614685,280,286
dwelling,6.59999999999999,1661.37693318712,1797.47766651822,136.100733331096,99.9735912601369+0.00382402434026377i,99.9717804642564+0.00382402811688164i,-0.00181079588051603+3.77661787433203e-09i,,6.59999991171069,,286,352
planning,0.7,1797.47766651822,1813.9446589861,16.4669924678788,99.9717804642564+0.00382402811688164i,99.9715610970155+0.00382402857558477i,-0.000219367240930524+4.58703127998589e-10i,,,0.669175304534394,352,359
traveling,3.8,1813.9446589861,1918.55246803907,104.607809052975,99.9715610970155+0.00382402857558477i,99.9701648094841+0.00382403150701554i,-0.00139628753143484+2.93143077086805e-09i,3.85847839141878,,,359,397
